SIRUTA,F1,F2,F3
48557,-0.047,-0.025,-0.113
48682,-0.050,-0.165,-0.032
48744,0.016,0.109,-0.070
48771,-0.019,0.072,0.147
48842,-0.054,-0.152,-0.013
48922,-0.061,-0.191,-0.005
48968,-0.068,-0.155,0.156
49019,-0.063,-0.192,0.017
49046,-0.056,-0.167,0.030
49073,-0.054,-0.154,-0.017
49153,-0.058,-0.132,-0.084
49206,-0.083,-0.248,-0.176
49233,-0.061,-0.193,-0.003
49313,-0.057,-0.181,0.002
49439,-0.063,-0.199,-0.016
49484,-0.038,-0.041,0.039
49545,-0.049,-0.120,-0.149
49625,-0.069,-0.328,0.542
49643,-0.071,-0.185,-0.022
49769,-0.047,-0.053,0.140
49849,-0.142,-0.571,-0.021
49894,-0.060,-0.240,0.083
49956,0.329,0.372,-1.295
50022,-0.054,-0.132,-0.246
50068,-0.061,-0.198,0.003
50102,-0.066,-0.194,0.019
50228,-0.038,-0.042,-0.006
50326,-0.067,-0.237,-0.167
50399,-0.067,-0.192,-0.016
50415,-0.048,-0.133,0.064
50479,-0.066,-0.178,-0.003
50549,-0.044,-0.141,0.022
50564,-0.068,-0.218,0.023
50790,0.824,2.228,-1.740
50889,-0.147,-0.940,0.181
50923,-0.053,-0.169,-0.119
50969,-0.125,0.108,0.622
50987,-0.056,-0.148,-0.007
51010,0.093,0.877,-0.063
51056,0.129,0.311,-0.236
51118,-0.025,0.131,0.827
51207,-0.077,0.013,0.697
51243,-0.061,-0.236,-0.012
51305,-0.042,-0.064,-0.088
51332,-0.027,0.057,0.000
51387,-0.071,-0.197,0.007
51449,-0.063,-0.178,0.045
51500,-0.053,-0.147,0.108
51546,-0.062,-0.193,0.005
51573,-0.013,-0.037,0.106
51626,-0.055,-0.133,-0.054
51662,-0.059,-0.191,-0.012
51699,0.021,-1.800,0.368
51751,-0.065,-0.150,-0.148
51804,-0.071,-0.152,0.119
51840,-0.056,-0.161,-0.020
51877,-0.064,-0.196,0.003
51948,-0.055,-0.172,0.005
51984,-0.054,-0.202,0.008
52035,-0.061,-0.194,0.000
52062,-0.062,-0.224,-0.064
52115,-0.028,-0.024,0.045
52160,-0.060,-0.184,0.001
52570,-0.042,-0.082,-0.083
